Company,Pais_sede,Cluster_Jerarquico
Salvatore Ferragamo SpA,Italia,1
Sandro,Francia,1
Savage X Fenty,Estados Unidos,1
Semir,China,1
Shein,Singapur,1
"Shimamura Co., Ltd.",Japón,1
Skechers USA Inc,Estados Unidos,1
Smart Bazaar,India,1
Speedo International Limited,Reino Unido,1
Splash,Emiratos Árabes Unidos,1
Sports Direct,Reino Unido,1
Steve Madden,Estados Unidos,1
Stradivarius,España,0
Superdry plc,Reino Unido,0
TJ Maxx,Estados Unidos,1
TOD'S,Italia,1
Takko Holding GmbH,Alemania,1
Target,Estados Unidos,1
Target Australia,Australia,0
Tchibo GmbH,Alemania,1
Ted Baker,Reino Unido,1
Tezenis,Italia,0
The North Face Inc.,Estados Unidos,0
The Timberland Company,Estados Unidos,0
The Very Group,Reino Unido,1
The Walt Disney Company,Estados Unidos,1
Tom Ford International LLC,Estados Unidos,1
Tom Tailor,Alemania,0
Tommy Bahama,Estados Unidos,1
Tommy Hilfiger Inc.,Estados Unidos,0
Topvalu,Japón,1
Tory Burch LLC,Estados Unidos,1
Triumph International,Suiza,1
Truworths,Sudáfrica,1
UGG,Estados Unidos,0
Under Armour,Estados Unidos,1
Uniqlo Co.,Japón,0
United Arrows,Japón,1
United Colors of Benetton,Italia,0
Urban Outfitters,Estados Unidos,1
Valentino SpA,Italia,1
Van Heusen,Estados Unidos,1
Vans,Estados Unidos,0
Vero Moda,Dinamarca,0
Victoria's Secret,Estados Unidos,1
Walmart,Estados Unidos,1
Warehouse Group,Nueva Zelanda,1
Woolworths Holdings Limited,Sudáfrica,1
Wrangler,Estados Unidos,1
Youngor,China,1
Zalando SE,Alemania,0
Zara,España,0
Zeeman,Países Bajos,0
lululemon athletica,Canadá,0
