Company,Pais_sede,Cluster_KMeans
Salvatore Ferragamo SpA,Italia,2
Sandro,Francia,2
Savage X Fenty,Estados Unidos,0
Semir,China,0
Shein,Singapur,0
"Shimamura Co., Ltd.",Japón,0
Skechers USA Inc,Estados Unidos,0
Smart Bazaar,India,0
Speedo International Limited,Reino Unido,2
Splash,Emiratos Árabes Unidos,0
Sports Direct,Reino Unido,0
Steve Madden,Estados Unidos,2
Stradivarius,España,1
Superdry plc,Reino Unido,1
TJ Maxx,Estados Unidos,2
TOD'S,Italia,0
Takko Holding GmbH,Alemania,0
Target,Estados Unidos,2
Target Australia,Australia,1
Tchibo GmbH,Alemania,2
Ted Baker,Reino Unido,2
Tezenis,Italia,2
The North Face Inc.,Estados Unidos,1
The Timberland Company,Estados Unidos,1
The Very Group,Reino Unido,2
The Walt Disney Company,Estados Unidos,2
Tom Ford International LLC,Estados Unidos,0
Tom Tailor,Alemania,2
Tommy Bahama,Estados Unidos,0
Tommy Hilfiger Inc.,Estados Unidos,1
Topvalu,Japón,0
Tory Burch LLC,Estados Unidos,0
Triumph International,Suiza,0
Truworths,Sudáfrica,0
UGG,Estados Unidos,1
Under Armour,Estados Unidos,2
Uniqlo Co.,Japón,1
United Arrows,Japón,2
United Colors of Benetton,Italia,1
Urban Outfitters,Estados Unidos,2
Valentino SpA,Italia,0
Van Heusen,Estados Unidos,0
Vans,Estados Unidos,1
Vero Moda,Dinamarca,2
Victoria's Secret,Estados Unidos,0
Walmart,Estados Unidos,2
Warehouse Group,Nueva Zelanda,2
Woolworths Holdings Limited,Sudáfrica,2
Wrangler,Estados Unidos,2
Youngor,China,0
Zalando SE,Alemania,2
Zara,España,1
Zeeman,Países Bajos,1
lululemon athletica,Canadá,1
