Company,Pais_sede,Fashion Revolution+1.5 Verified Sustainability Report,Fashion Revolution+Accountable Board Member Identified,Fashion Revolution+Affected Stakeholder Engagement in Remediation,Fashion Revolution+Approach to Defining Sustainable Materials,Fashion Revolution+Approach to Involving Women in Human Rights Due Diligence,Fashion Revolution+Commitment to Degrowth,Fashion Revolution+Commitment to Eliminate Hazardous Chemicals,Fashion Revolution+Decarbonisation Commitment,Fashion Revolution+Decarbonisation Progress,Fashion Revolution+Describes Environmental Due Diligence Process,Fashion Revolution+Describes Human Rights Due Diligence Process,Fashion Revolution+Discloses % of Circular Products,Fashion Revolution+Discloses Annual Investment in Decarbonisation,Fashion Revolution+Discloses Approach to Living Wage,Fashion Revolution+Discloses Approach to Recruitment Fees,Fashion Revolution+Discloses Breakdown of Reuse/Recyling of Pre-consumer Waste,Fashion Revolution+Discloses Coal Use,"Fashion Revolution+Discloses Content of Scope 1, 2 and 3 Emissions",Fashion Revolution+Discloses Data on Modern Slavery Prevalence,Fashion Revolution+Discloses Efforts to Invest in Supply Chain Workers,Fashion Revolution+Discloses Evidence of Developing Circular Solutions,Fashion Revolution+Discloses Free on Board (FOB) Price Changes (COVID-19 Response),Fashion Revolution+Discloses Gender Equality Actions in Supplier Facilities,Fashion Revolution+Discloses Living Wage Estimates Used for Benchmarking,Fashion Revolution+Discloses Number of Collective Bargaining Agreements Providing Wages Above Legal Minimum,Fashion Revolution+Discloses Number of Workers Affected by Recruitment Fees,Fashion Revolution+Discloses Percentage of Workers Paid By Piece Rate,Fashion Revolution+Discloses Percentage of Workers Receiving Wage Payments Digitally,Fashion Revolution+Discloses Policy on Up-Front Supplier Payments,Fashion Revolution+Discloses Prevalance of Collective Bargaining Violations,Fashion Revolution+Discloses Progress on Sustainable Materials Strategy,Fashion Revolution+Discloses Progress to Eliminate Hazardous Chemicals,Fashion Revolution+Discloses Progress to Reducing Textiles Derived from Virgin Fossil Fuels,Fashion Revolution+Discloses Progress to Reducing Virgin Plastics,Fashion Revolution+Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Fashion Revolution+Discloses Proportion of Workers Paid Minimum Wage,Fashion Revolution+Discloses Quantity of Orders Changed After Original Agreement,Fashion Revolution+Discloses Quantity of Orders with Labor Cost Protection,Fashion Revolution+Discloses Quantity of Post-production Waste Generated,Fashion Revolution+Discloses Quantity of Pre-Production Waste Generated,Fashion Revolution+Discloses Quantity of Products Destroyed,Fashion Revolution+Discloses Quantity of Products Produced,Fashion Revolution+Discloses Sourced Fibre Breakdown,Fashion Revolution+Discloses Strategy to Achieving Living Wage,Fashion Revolution+Discloses Take-back Scheme Outcomes,Fashion Revolution+Discloses Time Taken to Pay Purchase Orders,Fashion Revolution+Discloses Water-Related Risk Assessment Process,Fashion Revolution+Discloses number or % of Workers covered by Collective Bargaining Agreements,"Fashion Revolution+Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Fashion Revolution+Employee Incentives to Improve Impacts,Fashion Revolution+Environmental Profit and Loss Statement,Fashion Revolution+Environmental Risk Prevention and Remediation Outcomes Published,Fashion Revolution+Environmental Risks Impacts and Violations Identified,Fashion Revolution+Executive Incentives to Improve Impacts,Fashion Revolution+Executive Pay Linked to Environmental and Social Targets,Fashion Revolution+Exit Strategy,Fashion Revolution+Grievance Mechanism - Direct Employees,Fashion Revolution+Grievance Mechanism - Supply Chain Workers,Fashion Revolution+Grievance Mechanism Disseminated to Supply Chain Workers,Fashion Revolution+Grievance Mechanism Implementation - Supply Chain Workers,Fashion Revolution+Grievance Mechanism in Supplier Policies,Fashion Revolution+Grievance Reporting - Supply Chain Workers,Fashion Revolution+Human Rights Risk Prevention and Remediation Outcomes Published,Fashion Revolution+Human Rights Risks Impacts and Violations Identified,Fashion Revolution+Implementation of Board Level Accountability Described,Fashion Revolution+Implementation of Regenerative Farming Practices,Fashion Revolution+Minimizing Impact of Microfibres,Fashion Revolution+New Production Facility Criteria,Fashion Revolution+Number or % of off-site worker interviews,Fashion Revolution+Offers Clothing Longevity Business Models,Fashion Revolution+Offers Repair Services,Fashion Revolution+Offers Take-back Schemes,Fashion Revolution+Percentage of Audits including Trade Union Representative,Fashion Revolution+Plan for Improving Environmental Impacts,Fashion Revolution+Plan for Improving Human Rights Impacts,Fashion Revolution+Policy to Pay Supplier Within 60 Days,Fashion Revolution+Prevention Mitigation and Remediation of Environmental Risks,Fashion Revolution+Prevention Mitigation and Remediation of Human Rights Risks,Fashion Revolution+Protects Labour Costs in Price Negotiations,Fashion Revolution+Publishes Ethnicity Pay Gap,Fashion Revolution+Publishes Gender Pay Gap,Fashion Revolution+Publishes Gender-based Labour Violations Data,Fashion Revolution+Publishes Percentage of Workers Paid Above Minimum Wage,Fashion Revolution+Publishes Percentage or Number of Workers Earning a Living Wage,Fashion Revolution+Publishes Race-disaggregated Job Distribution,Fashion Revolution+Publishes Racial Equality Actions,Fashion Revolution+Publishes Responsible Purchasing Code of Conduct,Fashion Revolution+Publishes Standard Supplier Agreement Template,Fashion Revolution+Publishes Supplier Feedback on Purchasing Practices,Fashion Revolution+Publishes Supplier Wastewater Test Results,Fashion Revolution+Remediation Process,Fashion Revolution+Reports on Efforts to Improve Environmental Impacts,Fashion Revolution+Reports on Efforts to Improve Human Rights Impacts,Fashion Revolution+Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Fashion Revolution+Responsible Tax Strategy,Fashion Revolution+Science Based Targets,"Fashion Revolution+Scope, Process and Accreditation for Environmental Audits",Fashion Revolution+Stakeholder Engagement in Environmental Due Diligence,Fashion Revolution+Stakeholder Engagement in Human Rights Due Diligence,Fashion Revolution+Supplier Incentives to Improve Impacts,Fashion Revolution+Supply Chain Policies Align with International Standards,Fashion Revolution+Supply Chain Policies Are Contractual,Fashion Revolution+Supply Chain Policies in Local Language,Fashion Revolution+Sustainable Materials Strategy,Fashion Revolution+Targets to Reduce Textiles Derived from Virgin Fossil Fuels,Fashion Revolution+Targets to Reduce Virgin Plastics,Fashion Revolution+Worker Representation on Board,Fashion Revolution+Zero Deforestation Commitment,Fashion Revolution+Zero Deforestation Progress
AJIO,India,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDO,Canadá,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Abercrombie & Fitch,Estados Unidos,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
Adidas AG,Alemania,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
Aeropostale Inc.,Estados Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Airwair International Ltd (Dr Martens),Reino Unido,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
Aldi Nord,Alemania,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0
Aldi Sud,Alemania,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
"Amazon.com, Inc.",Estados Unidos,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
American Eagle Outfitters,Estados Unidos,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0
Anta Sports Products,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthropologie,Estados Unidos,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
Aritzia,Canadá,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
